,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
50,Aatli Baatmi Futli,"Aatli Baatmi Futli is a 2025 Indian Marathi-language mystery thriller directed by Vishal P. Gandhi and Jinesh Ijardar, produced by Vishal P. Gandhi and Grieshma Advani under Veejee Films.[1][2][3]","Vishal P Gandhi, Jainesh Ijarda",,"Grieshma Advani, Vishal P Gandhi, Amman Advani","Rohini Hattangadi, Mohan Agashe, Siddharth Jadhav, Vijay Nikam, Bharat Ganeshpure",Amit Suresh Kodoth,Ravi Chauhan,"September 19, 2025(India)",India,Marathi
51,Abadhah,"Following the narratives of Heylaa (2006) and Loodhifa (2011), which depict crimes occurring in Malé city, Moomin Fuad was inspired to write a similar genre for his next production.[6] During the lockdown following the COVID-19 pandemic, Fuad began working on the script for Abadhah.[7]",Moomin Fuad,Moomin Fuad,Hussain Nooradeen,"Yoosuf Shafeeu, Ismail Rasheed, Washiya Mohamed, Ahmed Sharif, Soozan Ibrahimfulhu",Ibrahim Wisan,Jazlaan Hameed,28 April 2025,Maldives,Dhivehi
52,Abhilasham,"Abhilasham is a 2025 Indian Malayalam language film directed by Shamzu Zayba[1] and written by Jenith Kachappilly featuring Saiju Kurup,[2] Arjun Ashokan and Tanvi Ram in lead roles.[3][4]",Shamzu Zayba,Jenith Kachappilly,"Ann Sariga Antony, Shankar Das","Saiju Kurup, Arjun Ashokan, Tanvi Ram",Sajad Kaakku,Nimz,29 March 2025,India,Malayalam
53,About Astronauts and Ghosts,"Pedro, a grandfather with a terminal illness, María, his granddaughter, and José, a delivery driver, reveal the intimate universe of their relationships in a labyrinth of conflicts between these three characters and a mother who lives in Spain, turning the story into a surprising metaphor for the past and present of a country within a house.[4]",Luis R. Vera,Luis R. Vera,Luis R. Vera,"Héctor Silva, Tomás Arredondo, Sofía Netto Barrios",Alfredo García,"Luis R. Vera, Noelia Armele Banks","November 15, 2025(Trieste)","Paraguay, Chile",Spanish
54,Abraham's Boys,"Abraham's Boys is a 2025 American horror film directed and written by Natasha Kermani. The film is based on the short story of the same name by Joe Hill, which was published in his 2005 compilation book 20th Century Ghosts.",Natasha Kermani,Natasha Kermani,"Leonora Darby, James Harris, James Howard Herron, Nicholas Lazo, Mark Ward, Tim Wu, Samuel Zimmerman","Titus Welliver, Jocelin Donahue, Judah Mackey, Aurora Perrineau, Brady Hepner",Julia Swain,Gabriel de Urioste,"April 5, 2025(Overlook Film Festival)","United States, [, 1, ]",English
55,Absolute Dominion,"Absolute Dominion is a 2025 American science fiction action film written, produced, and directed by Lexi Alexander. It stars Désiré Mia, Fabiano Viett, Alex Winter, Patton Oswalt, Julie Ann Emery, Andy Allo, and Alok Vaid-Menon.",Lexi Alexander,Lexi Alexander,"Lexi Alexander, John McKeown, Scott Putman","Désiré Mia, Fabiano Viett, Alex Winter, Patton Oswalt, Julie Ann Emery, Andy Allo, Alok Vaid-Menon",Egor Povolotskiy,Freddy Noriega,"May 9, 2025",United States,English
56,The Academy of Fine Arts,"The Academy of Fine Arts is a 2025 Indian Bengali-language independent black comedy heist film written, co-produced and directed by Jayabrata Das in his directorial debut.[1] Produced by Prateek Chakravorty, Manab Saha, Sanket Mishra, Jayabrata Das & Soumya Sarkar under their respective banners of Pramod Films and Cinenic Studios, the film stars an ensemble cast of Rudranil Ghosh, Saurav Das, Paayel Sarkar, Rishav Basu, Rahul Banerjee, Amit Saha, Sudip Mukherjee and Anuradha Mukherjee. It follows a group of criminals whose heist of a rare liquor bottle unravels into betrayal and violence, pushing each of them into a deadly fight for survival.[2]",Jayabrata Das,Jayabrata Das,"Prateek Chakravorty, Manab Saha, Sanket Mishra, Soumya Sarkar, Jayabrata Das","Rudranil Ghosh, Saurav Das, Paayel Sarkar, Rishav Basu, Rahul Banerjee, Anuradha Mukherjee, Amit Saha, Sudip Mukherjee, Anindya Pulak Banerjee",Arnab Laha,Ashik Sharkar,21 November 2025,India,Bengali
57,The Accountant 2,"The Accountant 2 (stylized as The Accountant2) is a 2025 American action thriller film directed by Gavin O'Connor and written by Bill Dubuque.[5] It is the sequel to The Accountant (2016). Ben Affleck, Jon Bernthal, Cynthia Addai-Robinson and J. K. Simmons reprise their roles from the previous film, with Daniella Pineda joining the cast.",Gavin O'Connor,Bill Dubuque,"Ben Affleck, Lynette Howell Taylor, Mark Williams","Ben Affleck, Jon Bernthal, Cynthia Addai-Robinson, Daniella Pineda, J. K. Simmons",Seamus McGarvey,Richard Pearson,"March 8, 2025(SXSW)",United States,English
58,Ace,"Ace is a 2025 Indian Tamil-language romantic crime comedy film[2] written, produced and directed by Arumuga Kumar. It stars Vijay Sethupathi and Rukmini Vasanth, alongside Yogi Babu, B. S. Avinash and Babloo Prithiveeraj.",Arumuga Kumar,Arumuga Kumar,Arumuga Kumar,"Vijay Sethupathi, Rukmini Vasanth",Karan B. Rawat,Fenny Oliver,23 May 2025,India,Tamil
59,The Actor,"The Actor is a 2025 American crime mystery film directed by Duke Johnson from a screenplay he co-wrote with Stephen Cooney, based on the 2010 novel Memory by Donald E. Westlake. The film marks Johnson's solo directorial debut and his first live-action film.[3] It stars André Holland and Gemma Chan in the lead roles. The supporting cast includes May Calamawy, Asim Chaudhry, Joe Cole, Fabien Frankel, Olwen Fouéré, Edward Hogg, Toby Jones, Youssef Kerkour, Simon McBurney, Tanya Reynolds, Tracey Ullman, and Scott Alexander Young.",Duke Johnson,,"Abigail Spencer, Duke Johnson, Paul Young, Ken Kao","André Holland, Gemma Chan, May Calamawy, Asim Chaudhry, Joe Cole, Fabien Frankel, Olwen Fouéré, Edward Hogg, Toby Jones, Youssef Kerkour, Simon McBurney, Tanya Reynolds, Tracey Ullman, Scott Alexander Young",Joe Passarelli,Garret Elkins,"March 14, 2025",United States,English
60,Ad Vitam,"Ad Vitam is a 2025 French action thriller film directed by Rodolphe Lauga and starring Guillaume Canet, who also co-wrote the film with Lauga and David Corona. It was released globally on Netflix on 10 January 2025.",Rodolphe Lauga,,"Guillaume Canet, Jean Cottin","Guillaume Canet, Stéphane Caillard",,,"January 10, 2025",France,French
61,Adam's Interest,"The film had its world premiere at the Critics' Week section of the 2025 Cannes Film Festival, on 14 May 2025.[1]",Laura Wandel,Laura Wandel,Delphine Tomson,"Léa Drucker, Anamaria Vartolomei",Frédéric Noirhomme,Nicolas Rumpl,14 May 2025(Cannes),"France, Belgium",French
62,Adhipatra,"Adhipatra is a 2025 Indian Kannada-language suspense thriller film directed by Chayan Shetty and produced by Sachin Shetty and Rajesh Iyengar. The film stars Roopesh Shetty as Athreya, a police officer, and Jahnavi Mahadi as Bruhati, marking her acting debut. Set in the coastal region of Karnataka, it incorporates elements of local culture, including Huli Kunitha and Yakshagana. The film was released on 7 February 2025.[1]",Chayan Shetty,,"Sachin Shetty, Rajesh Iyengar","Roopesh Shetty, Jahnavi Mahadi",,,7 February 2025,India,Kannada
63,Adhiran,"Adhiran (Sinhala: අදිරන් Tamil: அதிரன்), is a 2025 Sri Lankan bilingual action thriller film directed by Thinesh Kanagaraj and produced Anton Delaselp for Adrian Productions.[1][2] This is the first bilingual masala film produced in Sri Lanka.[3] It stars Sudharshan Raveendran and Michelle Dilhara in the lead roles[4] with Elroy Amalathas, Dilan Balakumar, Arun Suseen and Vinoth Kishan made supportive roles.[1][5]",Thinesh Kanagaraj,Thinesh Kanagaraj,Anton Delaselp,"Sudharshan Raveendran, Michelle Dilhara, Elroy Amalathas, Dilan Balakumar, Arun Suseen",Kathir Rajasekaram,SR Thusi Karan,28 November 2025,Sri Lanka,"Tamil, Sinhala"
64,Adinaasam Vellapokkam,"Varun is a nerdy student at the prestigious but very strict Liberty College of Engineering. His life takes a U-turn when he meets spoilt drug-addicted student Benny Puthenkurish. Him, Benny and two other students steal ""Black Afghani"", the precious drug of gangster Columbus. One night, Varun, under the influence of Benny, eats weed-infused chocolate. The husband of the college's principal, wanting to shut the college down, calls the media to investigate the usage of drugs within the college. This leads the principal to do drug tests, leading to the expulsion of Benny. Columbus infiltrates the college as a motivational speaker and makes friends with Varun and his other friends. Meanwhile, police officers are searching for a Tamil gangster.",A.J. Varghese,A.J. Varghese,Manoj Kumar K.P.,"Shine Tom Chacko, Sanjay Thomas, Vineeth Mohan, Manju Pillai, Baiju Santhosh, Prem Kumar, John Vijay",Sooraj S. Anand,Lijo Paul,12 December 2025,India,Malayalam
65,Ado,Ado is an American short film co-written and directed by Sam Henderson. It follows a middle school theatre teacher whose rehearsal is disrupted by a school shooting. It was shortlisted for the Best Live Action Short Film at the 98th Academy Awards.[1][2][3],Sam Henderson,"Sam Henderson, Ryan Romine","Sam Henderson, Rachel Jobin, Ryan Romine",Jenifer Lewis,Eric Branco,Maverick Moore,2025,United States,English
66,Adulthood,"Adulthood is a 2025 American comedy drama film directed by Alex Winter and written by Michael M.B. Galvin. It stars Josh Gad, Kaya Scodelario, Billie Lourd, Winter, and Anthony Carrigan.",Alex Winter,Michael M.B. Galvin,"Michael Cho, Tim Lee, Danny Roberts, Jackie Langelier, H.S. Naji, Scott Kroopf, Alex Winter, Russell Hollander, Lisa Wolofsky","Josh Gad, Kaya Scodelario, Billie Lourd, Alex Winter, Anthony Carrigan",Christopher Mably,Sandy Pereira,"September 11, 2025(TIFF)",United States,English
67,Affection Affection,The cast also includes Marc Susini as Rita's friend Jean-Claude.,"Maxime Matray, Alexia Walther",,Emmanuel Chaumet,"Agathe Bonitzer, Nathalie Richard, Christophe Paou",Pauline Sicard,Jeanne Sarfati,13 August 2025(Locarno),France,French
68,Before 30,"The film serves as a direct sequel to the 2015 Nigerian television series Before 30, picking up the lives of the same four women in their thirties, now navigating new challenges such as fertility, divorce, career burnout, and personal growth.[2][3][4]",Omorinsojo Spaine,,Ronke Ayeni,"Damilola Adegbite, Beverly Naya, Meg Otanwa, Anee Icha",,,9 May 2025,Nigeria,English
69,After Dreaming,"After Dreaming (Armenian: Երազելուց հետո) is a 2025 surrealist drama road movie written, co-produced and directed by Christine Haroutounian in her directorial debut.[1] It stars Davit Beybutyan and Veronika Poghosyan.[2] It follows an Armenian soldier who guides a young woman through a war-torn path, forging an unexpected relationship while keeping a secret from her.[3]",Christine Haroutounian,Christine Haroutounian,"Brad Becker-Parton, Christine Haroutounian","Davit Beybutyan, Veronika Poghosyan",Evgeny Rodin,Kiss Karamian,"February 14, 2025(Berlinale)","Armenia, United States, Mexico",Armenian
70,After the Hunt,"After the Hunt is a 2025 psychological thriller film directed by Luca Guadagnino and written by Nora Garrett. Starring Julia Roberts, Ayo Edebiri, Andrew Garfield, Michael Stuhlbarg, and Chloë Sevigny.",Luca Guadagnino,Nora Garrett,"Brian Grazer, Jeb Brody, Allan Mandelbaum, Luca Guadagnino","Julia Roberts, Ayo Edebiri, Andrew Garfield, Michael Stuhlbarg, Chloë Sevigny",Malik Hassan Sayeed,Marco Costa,"August 29, 2025(Venice)","Italy, United States",English
71,After This Death,"After This Death is a 2025 American romantic drama film written and directed by Lucio Castro. It stars Mía Maestro, Lee Pace, Rupert Friend, Gwendoline Christie and Philip Ettinger.",Lucio Castro,Lucio Castro,"David Hinojosa, Anita Gou, Patrick Donovan, Caroline Clark, Luca Intili","Mía Maestro, Lee Pace, Rupert Friend, Gwendoline Christie, Philip Ettinger",Barton Cortright,Kali Kahn,"February 19, 2025(Berlinale)",United States,"English, Spanish"
72,Afterburn,"Afterburn is a 2025 American post-apocalyptic action film directed by J. J. Perry and written by Matt Johnson and Nimród Antal. It stars Dave Bautista, Samuel L. Jackson, Olga Kurylenko and Kristofer Hivju. It is based on the Red 5 Comics graphic novel of the same name by Scott Chitwood, Paul Ens, and Wayne Nichols.[4]  The story is set a decade after the Earth's technology was decimated by a solar flare.[4]  Original development began in 2018, then halted, and restarted in 2024.[4]",J. J. Perry,,"Toby Jaffe, Neal H. Moritz, Steve Richards, Kevin Weisberg, Ryan D. Adams, Clay Pecorin","Dave Bautista, Olga Kurylenko, Kristofer Hivju, Samuel L. Jackson",José David Montero,Luke Dunkley,"August 21, 2025(Middle East, Germany, Austria, the Netherlands, and Israel)",United States,English
73,Against All Odds,"Against All Odds (Chinese: 营救飞虎) is a 2025 Chinese war film that dramatically retells the rescues of eight Flying Tigers pilots, one of whom is Lt. Donald W. Kerr at the dawn of 1944, by the Hong Kong and Kowloon Independent Brigade of the East River Column. Based on true stories, the single American pilot featured is fictionalized as James Harnett, an amalgamation of American volunteers from officers to sergeants.[2][3]",Lau Ho-leung,,"Yang Xiaolai, Cui Chen, Coco Xiaolu Ma","Han Geng, Mitchell Hoog, Chen Yongsheng, Louise Wong, Philip Ng","Tiger Gao, et al","Cheung Ka-fai, , et al","September 3, 2025(China)",China,"Cantonese, ,, Mandarin, , English, Japanese"
74,Agak Laen: Menyala Pantiku!,"Agak Laen: Menyala Pantiku! is a 2025 Indonesian comedy film written and directed by Muhadkly Acho. The film is a standalone sequel to Agak Laen, featuring a story unrelated to the previous film. It stars the hosts of the Agak Laen podcast: Bene Dion, Oki Rengga, Boris Bokir, and Indra Jegel. The plot follows four police officers whose careers are at risk after failing to solve the murder of a mayor's son. Given one last chance, they must go undercover and infiltrate a nursing home to find the murderer.",Muhadkly Acho,,"Dipa Andika, Ernest Prakasa","Boris Bokir, Indra Jegel, Oki Rengga, Bene Dion",Aga Wahyudi,Ryan Purwoko,"November 27, 2025(Indonesia)",Indonesia,"Indonesian, Toba Batak"
75,Agapito,"The cast includes Nour Hooshmand, Joel Garcia, Jeremy Mayores, Andre Miguel, Anton Nolasco, Veronica Reyes and Christina Simon.","Arvin Belarmino, Kyla Danelle Romero",,"Jon Galvez, Carlos Ortiz, McMurphy Quito","Nour Hooshmand, Joel Garcia, Jeremy Mayores, Andre Miguel, Anton Nolasco, Veronica Reyes, Christina Simon",Geia De Vera,John Rogers,May 2025(Cannes),Philippines,Tagalog
76,Agatha's Almanac,"The film premiered in March 2025 at CPH:DOX 2025.[4] It had its Canadian premiere at the 2025 Hot Docs Canadian International Documentary Festival,[5] where it won the juried award for Best Canadian Feature Documentary.[6]",Amalie Atkins,,Amalie Atkins,Agatha Bock,Rhayne Vermette,Amalie Atkins,"March 23, 2025(CPH:DOX)",Canada,English
77,The Age of Disclosure,"The Age of Disclosure is a 2025 American UFO documentary film directed and produced by Dan Farah, where former United States government officials and people associated with the disclosure movement claim  that alien intelligence is present on Earth[1][2][3] and has been subject to a decades-long government cover-up.[4][5][6] Farah described ""disclosure"" as when governments could reveal withheld information about alien life, as described in UFO conspiracy theory claims.[7] The film advances conspiracy theories concerning recovered alien materials, secret programs, and institutional secrecy by highlighting interviews with a wide ranging selection of participants including ufologists along with former and current US government officials and employees from the US military, the US intelligence community, and the US Congress.[1][2][3]",Dan Farah,,Dan Farah,,Vincent Wrenn,"Spencer Averick, Colin Frederick","March 9, 2025(SXSW)",United States,English
78,Aghathiyaa,"Aghathiyaa: Angels vs Devil is a 2025 Indian Tamil language horror action thriller film written and directed Pa. Vijay. The film stars Jiiva in a dual role alongside Arjun Sarja and Raashii Khanna, while Edward Sonnenblick, Matylda Bajer, Redin Kingsley, Shah Ra, Senthil, Radha Ravi, Rohini, Charle, Indraja Shankar and others in supporting roles.[2] The film is produced by Ishari K. Ganesh under his Vels Film International banner and co-produced by Aneesh Arjun Dev under Wam India. The film music composed by Yuvan Shankar Raja, with cinematography handled by Deepak Kumar Padhy, and film edited by San Lokesh.[3] The story revolves around a young art director (Jiiva) and his fiancee (Khanna) trapped into a haunted house, which leads them to uncover the old mysteries of 1940.",Pa. Vijay,Pa. Vijay,"Ishari K. Ganesh, Aneesh Arjun Dev","Jiiva, Arjun Sarja, Raashii Khanna",Deepak Kumar Padhy,San Lokesh,28 February 2025,India,Tamil
